Date,Close_price
3/10/2016 ,49571.11
3/11/2016 ,49638.68
3/14/2016 ,48867.33
3/15/2016 ,47130.02
3/16/2016 ,47763.43
3/17/2016 ,50913.79
3/18/2016 ,50814.66
3/21/2016 ,51171.55
3/22/2016 ,51010.19
3/23/2016 ,49690.05
3/24/2016 ,49657.39
3/28/2016 ,50838.23
3/29/2016 ,51154.99
3/30/2016 ,51248.92
3/31/2016 ,50055.27
4/1/2016 ,50561.53
4/4/2016 ,48779.99
4/5/2016 ,49053.62
4/6/2016 ,48096.24
4/7/2016 ,48513.1
4/11/2016 ,50165.48
4/12/2016 ,52001.86
4/13/2016 ,53149.84
4/14/2016 ,52411.02
4/15/2016 ,53227.74
4/18/2016 ,52894.08
4/19/2016 ,53710.05
4/20/2016 ,53630.93
4/22/2016 ,52907.88
4/25/2016 ,51861.71
4/26/2016 ,53082.5
4/27/2016 ,54477.78
4/28/2016 ,54311.97
4/29/2016 ,53910.51
5/2/2016 ,53561.53
5/3/2016 ,52260.19
5/4/2016 ,52552.8
5/5/2016 ,51671.04
5/6/2016 ,51717.83
5/9/2016 ,50990.07
5/10/2016 ,53070.91
5/11/2016 ,52764.46
5/12/2016 ,53241.32
5/13/2016 ,51804.31
5/16/2016 ,51802.92
5/17/2016 ,50839.44
5/18/2016 ,50561.7
5/19/2016 ,50132.53
5/20/2016 ,49722.75
5/23/2016 ,49330.42
5/24/2016 ,49345.19
5/25/2016 ,49482.86
5/27/2016 ,49051.49
5/30/2016 ,48964.34
5/31/2016 ,48471.71
6/1/2016 ,49012.65
6/2/2016 ,49887.24
6/3/2016 ,50619.5
6/6/2016 ,50431.8
6/7/2016 ,50487.86
6/8/2016 ,51629.29
6/9/2016 ,51118.46
6/10/2016 ,49422.16
6/13/2016 ,49660.79
6/14/2016 ,48648.3
6/15/2016 ,48914.74
6/16/2016 ,49411.62
6/17/2016 ,49533.84
6/20/2016 ,50329.36
6/21/2016 ,50837.81
6/22/2016 ,50156.3
6/23/2016 ,51559.82
6/24/2016 ,50105.26
6/27/2016 ,49245.53
6/28/2016 ,50006.56
6/29/2016 ,51001.91
6/30/2016 ,51526.93
7/1/2016 ,52233.04
7/4/2016 ,52568.66
7/5/2016 ,51842.27
7/6/2016 ,51901.81
7/7/2016 ,52014.66
7/8/2016 ,53140.74
7/11/2016 ,53960.12
7/12/2016 ,54256.41
7/13/2016 ,54598.29
7/14/2016 ,55480.87
7/15/2016 ,55578.24
7/18/2016 ,56484.22
7/19/2016 ,56698.06
7/20/2016 ,56578.05
7/21/2016 ,56641.49
7/22/2016 ,57002.08
7/25/2016 ,56872.73
7/26/2016 ,56782.75
7/27/2016 ,56852.84
7/28/2016 ,56667.12
7/29/2016 ,57308.21
8/1/2016 ,56755.76
8/2/2016 ,56162.38
8/3/2016 ,57076.91
8/4/2016 ,57593.9
8/5/2016 ,57661.14
8/8/2016 ,57635.43
8/9/2016 ,57689.42
8/10/2016 ,56919.78
8/11/2016 ,58299.57
8/12/2016 ,58298.41
8/15/2016 ,59145.98
8/16/2016 ,58855.43
8/17/2016 ,59323.83
8/18/2016 ,59166.02
8/19/2016 ,59098.92
8/22/2016 ,57781.24
8/23/2016 ,58020.03
8/24/2016 ,57717.88
8/25/2016 ,57722.14
8/26/2016 ,57716.25
8/29/2016 ,58610.39
8/30/2016 ,58575.42
8/31/2016 ,57901.11
9/1/2016 ,58236.27
9/2/2016 ,59616.4
9/5/2016 ,59566.35
9/6/2016 ,60129.44
9/8/2016 ,60231.66
9/9/2016 ,57999.73
9/12/2016 ,58586.11
9/13/2016 ,56820.77
9/14/2016 ,57059.46
9/15/2016 ,57909.49
9/16/2016 ,57079.76
9/19/2016 ,57350.38
9/20/2016 ,57736.46
9/21/2016 ,58393.92
9/22/2016 ,58994.17
9/23/2016 ,58697
9/26/2016 ,58053.53
9/27/2016 ,58382.49
9/28/2016 ,59355.77
9/29/2016 ,58350.57
9/30/2016 ,58367.05
10/3/2016 ,59461.23
10/4/2016 ,59339.23
10/5/2016 ,60254.34
10/6/2016 ,60644.24
10/7/2016 ,61108.98
10/10/2016 ,61668.33
10/11/2016 ,61021.85
10/13/2016 ,61118.58
10/14/2016 ,61767.22
10/17/2016 ,62696.11
10/18/2016 ,63782.21
10/19/2016 ,63505.61
10/20/2016 ,63837.85
10/21/2016 ,64108.08
10/24/2016 ,64059.89
10/25/2016 ,63866.2
10/26/2016 ,63825.69
10/27/2016 ,64249.51
10/28/2016 ,64307.63
10/31/2016 ,64924.52
11/1/2016 ,63326.42
11/3/2016 ,61750.17
11/4/2016 ,61598.39
11/7/2016 ,64051.65
11/8/2016 ,64157.68
11/9/2016 ,63258.27
11/10/2016 ,61200.96
11/11/2016 ,59183.51
11/14/2016 ,59657.47
11/16/2016 ,60759.32
11/17/2016 ,59770.47
11/18/2016 ,59961.76
11/21/2016 ,61070.27
11/22/2016 ,61954.47
11/23/2016 ,61985.91
11/24/2016 ,61395.53
11/25/2016 ,61559.08
11/28/2016 ,62855.5
11/29/2016 ,60986.52
11/30/2016 ,61906.36
12/1/2016 ,59506.54
12/2/2016 ,60316.13
12/5/2016 ,59831.73
12/6/2016 ,61088.25
12/7/2016 ,61414.4
12/8/2016 ,60676.57
12/9/2016 ,60500.62
12/12/2016 ,59178.62
12/13/2016 ,59280.57
12/14/2016 ,58212.12
12/15/2016 ,58396.16
12/16/2016 ,58389.04
12/19/2016 ,57111
12/20/2016 ,57582.89
12/21/2016 ,57646.52
12/22/2016 ,57255.22
12/23/2016 ,57937.11
12/26/2016 ,58620.26
12/27/2016 ,58696.69
12/28/2016 ,59781.63
12/29/2016 ,60227.29
1/2/2017 ,59588.7
1/3/2017 ,61813.83
1/4/2017 ,61589.06
1/5/2017 ,62070.98
1/6/2017 ,61665.37
1/9/2017 ,61700.29
1/10/2017 ,62131.8
1/11/2017 ,62446.26
1/12/2017 ,63953.93
1/13/2017 ,63651.52
1/16/2017 ,63831.28
1/17/2017 ,64354.34
1/18/2017 ,64149.58
1/19/2017 ,63950.86
1/20/2017 ,64521.18
1/23/2017 ,65748.63
1/24/2017 ,65840.09
1/26/2017 ,66190.62
1/27/2017 ,66033.99
1/30/2017 ,64301.73
1/31/2017 ,64670.78
2/1/2017 ,64836.13
2/2/2017 ,64578.22
2/3/2017 ,64953.93
2/6/2017 ,63992.94
2/7/2017 ,64198.9
2/8/2017 ,64835.4
2/9/2017 ,64964.89
2/10/2017 ,66124.53
2/13/2017 ,66967.64
2/14/2017 ,66712.88
2/15/2017 ,67975.58
2/16/2017 ,67814.24
2/17/2017 ,67748.42
2/20/2017 ,68532.86
2/21/2017 ,69052.03
2/22/2017 ,68589.54
2/23/2017 ,67461.39
2/24/2017 ,66662.11
3/1/2017 ,66988.88
3/2/2017 ,65854.93
3/3/2017 ,66785.53
3/6/2017 ,66341.37
3/7/2017 ,65742.33
3/8/2017 ,64718.02
3/9/2017 ,64585.24
3/10/2017 ,64675.46
3/13/2017 ,65534.3
3/14/2017 ,64699.46
3/15/2017 ,66234.88
3/16/2017 ,65782.85
3/17/2017 ,64209.94
3/20/2017 ,64884.27
3/21/2017 ,62980.37
3/22/2017 ,63521.33
3/23/2017 ,63530.79
3/24/2017 ,63853.77
3/27/2017 ,64308.39
3/28/2017 ,64640.45
3/29/2017 ,65528.29
3/30/2017 ,65265.98
3/31/2017 ,64984.07
4/3/2017 ,65211.48
4/4/2017 ,65768.91
4/5/2017 ,64774.77
4/6/2017 ,64222.72
4/7/2017 ,64593.11
4/10/2017 ,64649.82
4/11/2017 ,64359.79
4/12/2017 ,63891.68
4/13/2017 ,62826.28
4/17/2017 ,64334.93
4/18/2017 ,64158.84
4/19/2017 ,63406.97
4/20/2017 ,63760.62
4/24/2017 ,64389.02
4/25/2017 ,65148.35
4/26/2017 ,64861.92
4/27/2017 ,64676.55
4/28/2017 ,65403.25
5/2/2017 ,66721.75
5/3/2017 ,66093.78
5/4/2017 ,64862.61
5/5/2017 ,65709.74
5/8/2017 ,65526.05
5/9/2017 ,66277.67
5/10/2017 ,67349.73
5/11/2017 ,67537.61
5/12/2017 ,68221.94
5/15/2017 ,68474.19
5/16/2017 ,68684.5
5/17/2017 ,67540.25
5/18/2017 ,61597.06
5/19/2017 ,62639.31
5/22/2017 ,61673.49
5/23/2017 ,62662.48
5/24/2017 ,63257.36
5/25/2017 ,63226.79
5/26/2017 ,64085.41
5/29/2017 ,63760.94
5/30/2017 ,63962.26
5/31/2017 ,62711.47
6/1/2017 ,62288.52
6/2/2017 ,62510.69
6/5/2017 ,62450.45
6/6/2017 ,62954.69
6/7/2017 ,63170.73
6/8/2017 ,62755.58
6/9/2017 ,62210.56
6/12/2017 ,61700.23
6/13/2017 ,61828.99
6/14/2017 ,61922.93
6/16/2017 ,61626.41
6/19/2017 ,62014.03
6/20/2017 ,60766.16
6/21/2017 ,60761.74
6/22/2017 ,61272.22
6/23/2017 ,61087.14
6/26/2017 ,62188.09
6/27/2017 ,61675.46
6/28/2017 ,62017.97
6/29/2017 ,62238.96
6/30/2017 ,62899.97
7/3/2017 ,63279.58
7/4/2017 ,63231.59
7/5/2017 ,63154.17
7/6/2017 ,62470.33
7/7/2017 ,62322.4
7/10/2017 ,63025.47
7/11/2017 ,63832.15
7/12/2017 ,64835.55
7/13/2017 ,65178.35
7/14/2017 ,65436.18
7/17/2017 ,65212.31
7/18/2017 ,65337.67
7/19/2017 ,65179.92
7/20/2017 ,64938.02
7/21/2017 ,64684.18
7/24/2017 ,65099.55
7/25/2017 ,65667.63
7/26/2017 ,65010.57
7/27/2017 ,65277.38
7/28/2017 ,65497.13
7/31/2017 ,65920.36
8/1/2017 ,66516.24
8/2/2017 ,67135.99
8/3/2017 ,66777.13
8/4/2017 ,66897.99
8/7/2017 ,67939.66
8/8/2017 ,67898.94
8/9/2017 ,67671.07
8/10/2017 ,66992.09
8/11/2017 ,67358.59
8/14/2017 ,68284.66
8/15/2017 ,68355.12
8/16/2017 ,68594.29
8/17/2017 ,67976.8
8/18/2017 ,68714.66
8/21/2017 ,68634.65
8/22/2017 ,70011.25
8/23/2017 ,70477.63
8/24/2017 ,71132.8
8/25/2017 ,71073.65
8/28/2017 ,71016.59
8/29/2017 ,71329.85
8/30/2017 ,70886.26
8/31/2017 ,70835.05
9/1/2017 ,71923.11
9/4/2017 ,72128.83
9/5/2017 ,72150.88
9/6/2017 ,73412.41
9/8/2017 ,73078.85
9/11/2017 ,74319.22
9/12/2017 ,74538.55
9/13/2017 ,74787.57
9/14/2017 ,74656.68
9/15/2017 ,75756.52
9/18/2017 ,75990.41
9/19/2017 ,75974.18
9/20/2017 ,76004.15
9/21/2017 ,75604.34
9/22/2017 ,75389.75
9/25/2017 ,74443.47
9/26/2017 ,74318.72
9/27/2017 ,73796.71
9/28/2017 ,73567.25
9/29/2017 ,74293.51
10/2/2017 ,74359.83
10/3/2017 ,76762.91
10/4/2017 ,76591.44
10/5/2017 ,76617.53
10/6/2017 ,76054.72
10/9/2017 ,75726.81
10/10/2017 ,76897.21
10/11/2017 ,76659.8
10/13/2017 ,76989.79
10/16/2017 ,76891.84
10/17/2017 ,76201.25
10/18/2017 ,76591.09
10/19/2017 ,76283.16
10/20/2017 ,76390.51
10/23/2017 ,75413.13
10/24/2017 ,76350.19
10/25/2017 ,76671.13
10/26/2017 ,75896.35
10/27/2017 ,75975.71
10/30/2017 ,74800.33
10/31/2017 ,74308.49
11/1/2017 ,73823.74
11/3/2017 ,73915.43
11/6/2017 ,74310.79
11/7/2017 ,72414.88
11/8/2017 ,74363.13
11/9/2017 ,72930.69
11/10/2017 ,72165.64
11/13/2017 ,72475.17
11/14/2017 ,70826.59
11/16/2017 ,72511.79
11/17/2017 ,73437.28
11/21/2017 ,74594.61
11/22/2017 ,74518.79
11/23/2017 ,74486.58
11/24/2017 ,74157.37
11/27/2017 ,74058.92
11/28/2017 ,74139.72
11/29/2017 ,72700.45
11/30/2017 ,71970.99
12/1/2017 ,72264.45
12/4/2017 ,73090.17
12/5/2017 ,72546.17
12/6/2017 ,73268.35
12/7/2017 ,72487.46
12/8/2017 ,72731.84
12/11/2017 ,72800.04
12/12/2017 ,73813.53
12/13/2017 ,72914.33
12/14/2017 ,72428.93
12/15/2017 ,72607.7
12/18/2017 ,73115.45
12/19/2017 ,72680.37
12/20/2017 ,73367.03
12/21/2017 ,75133.43
12/22/2017 ,75186.53
12/26/2017 ,75707.73
12/27/2017 ,76072.54
12/28/2017 ,76402.08
1/2/2018 ,77891.04
1/3/2018 ,77995.16
1/4/2018 ,78647.42
1/5/2018 ,79071.47
1/8/2018 ,79378.54
1/9/2018 ,78863.54
1/10/2018 ,78200.57
1/11/2018 ,79365.44
1/12/2018 ,79349.12
1/15/2018 ,79752.37
1/16/2018 ,79831.76
1/17/2018 ,81189.16
1/18/2018 ,80962.65
1/19/2018 ,81219.5
1/22/2018 ,81675.42
1/23/2018 ,80643.43
1/24/2018 ,83680
1/26/2018 ,85530.84
1/29/2018 ,84698.01
1/30/2018 ,84482.46
1/31/2018 ,84912.7
2/1/2018 ,85495.24
2/2/2018 ,84041.34
2/5/2018 ,81861.09
2/6/2018 ,83894.04
2/7/2018 ,82766.73
2/8/2018 ,81532.53
2/9/2018 ,80898.7
2/14/2018 ,83542.84
2/15/2018 ,84290.57
2/16/2018 ,84524.58
2/19/2018 ,84792.71
2/20/2018 ,85803.96
2/21/2018 ,86051.82
2/22/2018 ,86686.45
2/23/2018 ,87293.24
2/26/2018 ,87652.64
2/27/2018 ,86935.44
2/28/2018 ,85353.6
3/1/2018 ,85377.79
3/2/2018 ,85761.34
3/5/2018 ,86022.83
3/6/2018 ,85653.02
3/7/2018 ,85483.55
3/8/2018 ,84984.61
3/9/2018 ,86371.41
3/12/2018 ,86900.43
3/13/2018 ,86383.85
3/14/2018 ,86050.96
3/15/2018 ,84928.2
3/16/2018 ,84886.49
3/19/2018 ,83913.06
3/20/2018 ,84163.8
3/21/2018 ,84976.59
3/22/2018 ,84767.88
3/23/2018 ,84377.19
3/26/2018 ,85087.86
3/27/2018 ,83808.06
3/28/2018 ,83874.14
3/29/2018 ,85365.56
4/2/2018 ,84666.44
4/3/2018 ,84623.46
4/4/2018 ,84359.69
4/5/2018 ,85209.66
4/6/2018 ,84820.42
4/9/2018 ,83307.23
4/10/2018 ,84510.36
4/11/2018 ,85245.59
4/12/2018 ,85443.53
4/13/2018 ,84334.41
4/16/2018 ,82861.58
4/17/2018 ,84086.13
4/18/2018 ,85776.46
